2020_01_21_12_39

[12:16:39.22] 开始加载UI
[12:16:39.82] 开始获取一言
[12:16:40.24] 获取一言成功，耗时：00:00:00.4127433
[12:16:40.24] UI加载完成，耗时：00:00:01.0243670
[12:17:05.32] 开始获取一言
[12:17:05.52] 获取一言成功，耗时：00:00:00.1950957
[12:17:14.36] 开始获取一言
[12:17:14.55] 获取一言成功，耗时：00:00:00.1895938
[12:17:20.58] 开始获取一言
[12:17:20.75] 获取一言成功，耗时：00:00:00.1735711
[12:17:32.33] 开始获取一言
[12:17:32.54] 获取一言成功，耗时：00:00:00.2042090
[12:17:45.48] 开始获取一言
[12:17:45.68] 获取一言成功，耗时：00:00:00.1985549
[12:17:50.13] 开始获取一言
[12:17:50.34] 获取一言成功，耗时：00:00:00.2087063
[12:18:05.69] 开始获取一言
[12:18:05.88] 获取一言成功，耗时：00:00:00.1869440
[12:18:13.97] 开始获取一言
[12:18:14.17] 获取一言成功，耗时：00:00:00.1978755
[12:23:23.78] 开始获取一言
[12:23:23.99] 获取一言成功，耗时：00:00:00.2137446
