2020_02_15_11_50

[11:51:50.67] 开始加载UI
[11:51:51.03] UI加载完成，耗时：00:00:00.3593618
[11:51:51.03] 开始获取一言
[11:51:51.03] 尝试下载丁香园界面……
[11:51:51.03] 检查更新……
[11:51:51.03] 尝试第一更新源……
[11:51:51.42] 获取一言成功，耗时：00:00:00.4062330
[11:51:52.34] 检查更新完成。
[11:52:11.27] 开始获取一言
[11:52:11.29] 尝试下载丁香园界面……
[11:52:11.46] 获取一言成功，耗时：00:00:00.1874906
[11:52:19.32] 开始获取一言
[11:52:19.34] 尝试下载丁香园界面……
[11:52:19.51] 获取一言成功，耗时：00:00:00.1874814
[11:52:30.38] 开始获取一言
[11:52:30.38] 尝试下载丁香园界面……
[11:52:30.64] 获取一言成功，耗时：00:00:00.2656084
[11:53:45.21] 开始获取一言
[11:53:45.21] 尝试下载丁香园界面……
[11:53:45.42] 获取一言成功，耗时：00:00:00.2245984
